Joe Hart
Willy Caballero
Richard Wright
Nicolas Otamendi
Vincent Kompany
Eliaquim Mangala
Martin Demichelis
Aleksandar Kolarov
Gael Clichy
Pablo Zabaleta
Bacary Sagna
Fernando
Fernandinho
Yaya Toure
Fabian Delph
Kevin DeBruyne
David Silva
Raheem Sterling
Samir Nasri
Jesus Navas
Patrick Roberts
Sergio Aguero
Wilfried Bony
Kalechi Iheanacho
