Julio Cesar
Ederson
Paulo Lopes
Jardel
Lisandro Lopez
Luisao
Victor Lindelof
Elisue
Nelson Semendo
Silvio
Andreas Samaris
Andre Almeida
Ljubomir Fejsa
Talisca
Pizzi
Bryan Cristante
Renato Sanches
Filip Djuricic
Nico Gaitan
Adel Taraabt
Nuno Santos
Toto Salvio
Goncalo Guedes
Mehdi Carcela Gonzalez
Victor Andrade
Jonas
Konstantinos Mitroglou
Raul Jimenez
