Douglas Jesus
Assis
Miguel Oliviera
Josue Sa
Joao Afonso
Pedrao
Moreno
Luis Rocha
Breno
Dalbert
Bruno Gaspar
Pedro Correia
Cafu
Bouba
Bruno Alves
Joao Pedro
Toze
Otavio
Santiago Montoya
Nassim Zitouni
Thibang Phete
Alex
Ricardo Gomes
Lica
Ricardo Valente
Inters Gui
Xande Silva
Joao Vigario
Henrique
Tomane
