Danijel Subasic
Paul Nardi
Seydou Sy
Wallace
Andrea Raggi
Ricardo Carvalho
Raphael Diarra
Fabio Coentrao
Elderson
Fabinho
Almamy Toure
Tiemoue Bakayoko
Jeremy Toulalan
Abdou Aziz Thiam
Jonathan Mexique
Joao Mouthinho
Adama Traore
Mario Pasalic
Rony Lopes
Gabriel Boschilia
Thomas Lemar
Fares Bahlouli
Stephan El Shaarawy
Ivan Cavaliero
Helder Costa
Bernardo Silva
Nabil Dirar
Guido Carrillo
Lacina Traore
